Anno,Spesa_1,Spesa_2,Spesa_3,Spesa_4,Spesa_5,Spesa_6,Spesa_7,Spesa_8,Spesa_9,Spesa_10,Spesa_11,Spesa_12,Spesa_TOT
1997,408.57,41.76,131.33,369.28,192.46,87.83,235.26,82.98,174.88,8.3,52.26,137.18,1922.09
1998,452.27,46.1,157.55,383.64,129.54,96.4,242.15,86.58,125.37,8.42,63.87,170.06,1961.95
1999,404.35,42.54,160.21,395.56,163.99,101.77,198.89,85.57,125.94,5.68,54.19,158.28,1896.97
2000,381.91,38.43,153.31,411.55,156.31,85.19,233.0,97.03,122.75,8.18,55.63,155.6,1898.89
2001,409.56,41.18,145.58,403.87,135.76,84.47,194.8,87.01,114.56,4.73,68.48,178.08,1868.08
2002,411.18,35.19,141.32,409.18,104.29,74.14,221.63,80.48,96.04,4.57,60.07,159.79,1797.88
2003,443.22,39.66,136.19,472.1,133.62,92.99,213.06,91.37,102.9,4.35,58.35,178.15,1965.96
2004,468.41,44.27,158.55,501.75,153.91,88.58,224.66,92.6,134.55,8.05,64.4,192.09,2131.82
2005,466.01,42.42,138.29,509.04,147.76,102.85,243.06,95.49,132.75,6.4,56.75,188.66,2129.48
2006,456.04,36.48,133.88,502.84,112.73,82.31,252.45,92.94,99.47,5.99,55.9,184.69,2015.72
2007,512.72,50.0,160.39,492.22,122.03,111.31,233.96,96.39,122.01,5.1,66.92,196.6,2169.65
2008,460.8,44.67,133.62,547.88,116.4,97.23,240.7,90.04,103.23,7.85,62.76,171.43,2076.61
2009,437.37,43.67,133.42,546.63,94.87,96.09,220.73,83.03,102.28,5.64,63.63,166.38,1993.74
2010,466.34,45.44,123.73,563.3,88.26,93.33,201.12,77.47,90.91,3.75,64.47,169.25,1987.37
2011,495.61,43.99,155.79,536.69,114.16,98.54,228.99,77.07,103.46,4.36,60.78,199.79,2119.23
2012,478.22,44.91,112.72,568.41,81.17,86.82,180.48,76.78,82.32,5.48,58.61,155.58,1931.5
2013,427.91,35.7,99.31,547.23,74.36,75.2,170.28,63.66,64.47,6.46,52.42,137.43,1754.43
2014,427.9,37.03,87.62,567.17,78.38,75.22,163.27,62.17,56.89,7.55,47.87,146.76,1757.82
2015,419.82,39.25,83.98,539.3,72.36,78.18,181.9,55.24,59.08,9.48,45.08,145.52,1729.2
2016,384.59,35.21,79.71,521.1,69.89,74.21,225.41,52.2,62.53,9.6,53.34,133.26,1701.04
2017,448.29,44.91,103.1,510.75,87.19,108.19,184.5,59.8,67.2,7.14,47.54,138.44,1807.06
