Anno,Spesa_1,Spesa_2,Spesa_3,Spesa_4,Spesa_5,Spesa_6,Spesa_7,Spesa_8,Spesa_9,Spesa_10,Spesa_11,Spesa_12,Spesa_TOT
1997,371.12,40.21,152.21,796.85,113.18,113.47,335.37,68.35,132.05,8.81,134.87,208.95,2475.44
1998,369.27,42.07,152.06,813.42,109.96,121.38,338.19,72.16,164.48,12.44,116.39,228.01,2539.83
1999,374.56,43.88,145.58,819.34,123.17,117.85,346.75,74.33,161.44,11.09,128.89,244.97,2591.85
2000,394.02,42.93,174.02,887.9,158.38,137.9,388.65,87.33,184.68,14.52,142.42,274.71,2887.46
2001,384.17,46.19,204.22,923.75,148.28,112.06,361.39,79.6,166.15,9.05,155.85,250.3,2841.01
2002,378.39,37.75,144.82,907.5,128.14,107.07,303.33,77.14,146.04,11.12,126.03,249.31,2616.64
2003,408.99,41.59,167.38,985.37,119.36,122.37,294.01,82.0,154.95,9.4,153.78,262.54,2801.74
2004,416.49,46.4,159.06,1051.43,112.46,117.55,359.41,85.76,165.55,14.7,148.53,272.33,2949.67
2005,424.57,50.46,156.07,1082.25,129.45,120.42,425.41,89.38,161.38,11.26,151.33,276.31,3078.29
2006,436.11,48.97,161.49,1104.74,139.36,111.19,370.19,96.37,183.62,13.27,156.06,289.25,3110.62
2007,399.32,44.38,153.03,1102.83,132.87,115.49,349.18,84.39,157.46,12.57,166.69,249.6,2967.81
2008,407.65,44.71,142.65,1163.24,140.18,124.59,365.9,86.05,155.46,12.69,148.4,274.4,3065.92
2009,417.9,44.27,147.88,1105.04,131.1,115.98,336.86,83.55,138.73,13.64,158.68,253.36,2946.99
2010,419.59,51.8,148.73,1134.84,123.12,117.0,374.62,87.05,168.49,18.53,162.74,249.05,3055.56
2011,439.17,48.88,139.92,1105.23,125.18,114.86,362.21,79.33,164.05,14.74,138.66,248.29,2980.52
2012,429.18,52.13,129.73,1127.01,105.03,117.45,359.12,76.82,169.01,19.26,159.6,241.7,2986.04
2013,420.83,50.43,120.89,1100.35,111.24,113.21,317.01,73.48,153.26,14.65,163.8,234.71,2873.86
2014,424.47,50.16,116.99,1113.46,115.16,124.53,315.93,68.83,147.56,14.5,158.76,232.91,2883.27
2015,420.18,49.2,115.26,1078.95,113.12,129.93,337.23,68.35,164.22,17.98,190.93,218.24,2903.58
2016,419.95,47.85,110.1,1180.28,99.79,118.18,326.97,69.31,166.57,20.92,195.86,219.68,2975.45
2017,456.92,49.82,116.74,1048.48,117.12,140.17,360.76,66.82,167.17,22.0,191.18,220.53,2957.72
