Anno,Spesa_1,Spesa_2,Spesa_3,Spesa_4,Spesa_5,Spesa_6,Spesa_7,Spesa_8,Spesa_9,Spesa_10,Spesa_11,Spesa_12,Spesa_TOT
1997,321.58,31.03,139.27,521.48,94.31,86.87,187.56,50.64,134.94,6.61,111.74,206.33,1892.36
1998,346.88,31.82,138.77,566.81,113.15,92.23,226.02,55.35,121.02,5.22,103.96,206.28,2007.51
1999,341.83,32.51,173.85,589.15,103.87,81.16,217.06,64.27,137.44,8.95,103.47,216.45,2070.01
2000,330.72,32.58,137.28,618.69,113.81,94.45,237.67,62.09,144.29,6.32,145.3,216.06,2139.26
2001,346.72,28.94,150.92,669.03,126.29,113.77,251.57,58.88,127.36,7.81,126.92,221.67,2229.88
2002,345.55,24.66,137.31,703.49,110.45,83.9,231.3,58.56,118.94,6.3,125.26,215.46,2161.18
2003,369.18,30.44,135.48,760.33,92.47,103.69,247.57,65.44,123.34,4.93,125.89,234.34,2293.1
2004,390.05,31.18,162.34,841.87,126.31,89.97,265.69,83.48,162.47,9.26,135.04,231.91,2529.57
2005,375.4,33.26,138.29,853.84,123.41,94.6,239.81,71.0,126.95,9.87,129.55,254.27,2450.25
2006,387.3,33.68,140.21,853.91,123.65,77.26,264.25,69.62,137.79,7.22,145.99,254.58,2495.46
2007,371.32,37.67,133.3,880.76,128.45,103.09,314.35,62.53,153.92,6.94,137.16,250.34,2579.83
2008,410.01,40.79,142.3,891.05,136.9,99.31,313.4,67.3,157.92,7.81,141.05,259.24,2667.08
2009,383.35,38.21,143.79,979.56,119.33,109.69,280.42,63.67,144.0,9.29,133.43,231.88,2636.62
2010,410.82,41.08,139.39,959.54,151.54,118.51,288.55,63.88,168.02,9.41,145.88,240.96,2737.58
2011,423.94,46.78,124.67,990.02,122.83,112.43,274.98,60.22,141.11,6.46,155.29,234.25,2692.98
2012,398.28,47.96,115.16,944.48,105.61,101.86,266.15,67.14,148.87,11.31,154.78,199.09,2560.69
2013,409.86,39.96,108.4,932.19,95.44,103.85,298.71,63.22,125.17,9.48,133.85,208.75,2528.88
2014,442.8,40.37,104.48,936.75,101.56,113.53,250.67,60.52,131.31,15.24,121.52,207.57,2526.33
2015,432.13,40.04,101.06,921.58,102.22,103.34,262.49,55.57,136.4,13.46,137.12,192.36,2497.76
2016,433.79,42.6,92.79,917.43,111.11,114.57,267.49,59.62,128.7,10.06,130.66,170.24,2479.04
2017,431.39,41.89,88.09,968.51,121.91,121.94,263.49,67.38,155.48,14.34,138.72,190.37,2603.51
