Anno,Spesa_1,Spesa_2,Spesa_3,Spesa_4,Spesa_5,Spesa_6,Spesa_7,Spesa_8,Spesa_9,Spesa_10,Spesa_11,Spesa_12,Spesa_TOT
1997,403.32,35.85,112.06,750.6,117.85,103.16,233.92,70.89,138.04,14.28,110.77,181.14,2271.88
1998,399.97,38.58,111.68,768.87,122.88,110.82,242.44,81.55,147.05,12.59,107.84,221.61,2365.88
1999,370.82,35.17,116.17,754.78,98.24,97.44,230.08,74.46,127.65,17.61,94.68,181.49,2198.59
2000,331.06,31.79,118.89,780.49,134.57,82.39,255.52,82.16,129.18,15.45,129.47,167.62,2258.59
2001,368.0,35.45,107.26,811.87,123.09,72.94,216.81,78.78,123.28,9.67,113.38,158.03,2218.56
2002,415.96,38.29,125.37,929.15,166.15,90.7,212.28,78.14,140.3,7.99,123.51,195.01,2522.85
2003,436.47,37.09,119.49,987.12,149.37,85.21,217.91,74.71,140.06,11.03,147.15,205.84,2611.45
2004,432.14,38.54,128.18,971.22,131.04,88.45,244.5,89.49,133.03,10.24,143.12,207.18,2617.13
2005,444.69,40.74,133.53,1087.66,140.76,79.39,243.18,91.61,138.04,9.61,125.93,216.25,2751.39
2006,460.98,41.44,131.7,1128.89,150.74,106.28,262.02,87.85,129.09,19.58,124.18,203.56,2846.31
2007,470.21,42.58,123.13,1125.9,124.77,103.2,261.42,83.35,115.85,16.92,125.59,183.16,2776.08
2008,481.58,45.17,114.02,1204.29,112.2,110.55,286.95,85.54,130.98,13.92,104.97,183.19,2873.36
2009,458.78,39.94,115.37,1250.41,125.56,111.48,276.34,78.25,130.68,11.17,146.85,192.47,2937.3
2010,450.93,38.78,121.27,1191.21,128.43,122.96,228.56,77.79,118.46,7.73,124.16,187.47,2797.75
2011,446.76,36.69,105.27,1219.71,114.74,116.37,243.21,74.52,126.18,13.25,129.76,182.13,2808.59
2012,456.29,39.06,92.56,1164.49,109.1,103.11,250.07,76.3,92.85,18.86,137.21,183.72,2723.62
2013,455.62,39.6,92.27,1121.3,94.59,88.39,239.81,70.63,109.11,15.51,129.25,183.96,2640.04
2014,450.73,38.87,82.99,1117.68,96.65,110.35,238.75,67.96,117.79,15.47,125.38,192.22,2654.84
2015,448.34,41.74,85.5,1095.05,91.46,110.22,239.81,65.57,120.25,15.02,122.52,178.48,2613.95
2016,400.0,38.49,85.97,1180.56,103.26,107.76,217.52,61.24,131.05,16.19,113.02,164.9,2619.95
2017,446.66,46.93,101.45,1094.22,105.09,125.01,263.5,64.62,132.94,16.99,131.54,174.62,2703.58
