Anno,Spesa_1,Spesa_2,Spesa_3,Spesa_4,Spesa_5,Spesa_6,Spesa_7,Spesa_8,Spesa_9,Spesa_10,Spesa_11,Spesa_12,Spesa_TOT
1997,407.99,42.62,155.72,558.75,150.72,104.57,306.44,58.29,168.63,4.37,92.63,195.34,2246.07
1998,435.03,39.99,146.84,577.54,124.88,106.96,346.04,63.54,154.34,9.0,95.42,178.1,2277.68
1999,421.37,40.86,148.72,638.77,218.41,122.86,370.48,75.47,152.0,10.83,97.08,233.09,2529.94
2000,411.78,42.5,153.52,651.87,178.89,113.85,409.36,72.85,165.84,10.44,107.32,197.21,2515.43
2001,412.39,37.68,156.71,718.05,167.65,92.67,266.36,66.79,149.4,6.92,103.14,204.15,2381.91
2002,438.41,37.87,149.44,751.52,189.89,93.32,311.68,73.56,143.21,6.05,124.05,202.5,2521.5
2003,461.18,40.91,152.65,769.44,161.15,92.3,277.64,74.43,136.41,5.69,109.7,231.47,2512.97
2004,477.19,43.81,147.5,754.51,177.05,105.16,316.66,80.03,139.41,6.56,105.94,209.44,2563.26
2005,464.82,40.08,135.82,853.82,163.64,95.32,282.05,72.5,120.78,6.52,111.07,212.07,2558.49
2006,461.81,45.71,148.67,826.28,141.39,107.23,272.74,70.7,127.05,7.12,98.03,220.47,2527.2
2007,475.03,47.85,134.78,856.26,133.48,112.17,316.99,71.37,124.0,4.79,112.88,209.94,2599.54
2008,491.12,44.97,140.24,881.61,137.06,104.12,295.83,69.41,132.34,11.12,115.32,216.35,2639.49
2009,451.67,43.67,133.61,912.85,128.04,101.39,253.64,70.64,128.14,6.87,112.36,206.14,2549.02
2010,442.65,38.58,116.94,947.73,102.97,110.9,286.6,72.12,106.34,10.18,113.01,194.43,2542.45
2011,455.95,37.66,118.21,966.66,115.85,107.97,322.56,70.87,117.24,9.81,131.99,205.66,2660.43
2012,435.81,39.63,98.83,956.19,105.47,104.65,326.93,67.89,116.27,10.67,96.91,180.51,2539.76
2013,439.89,43.4,91.85,899.91,90.34,94.54,271.23,64.09,122.02,12.39,107.71,187.84,2425.21
2014,441.47,37.77,99.49,895.65,97.96,98.86,267.83,60.24,108.34,14.12,101.46,203.6,2426.79
2015,435.9,37.09,95.0,840.84,98.46,91.46,254.47,58.77,114.33,13.23,92.71,173.34,2305.6
2016,450.69,34.61,98.07,829.37,88.82,82.84,293.61,45.93,97.74,12.23,96.92,132.78,2263.6
2017,460.08,31.92,97.13,831.29,93.46,83.92,287.17,46.9,93.98,9.87,112.32,164.01,2312.05
