Anno,Spesa_1,Spesa_2,Spesa_3,Spesa_4,Spesa_5,Spesa_6,Spesa_7,Spesa_8,Spesa_9,Spesa_10,Spesa_11,Spesa_12,Spesa_TOT
1997,365.04,43.26,132.77,609.45,89.77,103.41,244.95,68.69,138.85,7.01,104.21,155.41,2062.82
1998,355.96,48.53,145.11,643.26,102.21,111.18,262.67,77.45,138.72,4.69,97.37,154.36,2141.51
1999,368.6,48.49,138.06,667.83,123.29,110.53,304.98,83.48,139.48,7.03,114.49,162.64,2268.9
2000,365.23,42.57,148.74,714.73,136.5,92.89,325.93,90.57,172.02,6.04,112.27,165.18,2372.67
2001,371.98,42.2,130.8,742.4,114.74,90.86,298.64,76.52,131.87,6.58,105.66,157.04,2269.29
2002,369.58,43.92,137.0,764.64,103.59,92.54,275.38,76.03,131.47,3.33,124.27,157.47,2279.22
2003,396.39,46.35,147.36,814.83,98.24,105.87,264.22,84.02,138.58,6.91,116.41,161.47,2380.65
2004,416.33,49.63,163.59,903.46,142.8,121.46,312.34,89.97,147.44,8.36,121.53,197.19,2674.1
2005,419.33,50.21,122.78,868.56,104.22,108.2,284.85,85.37,134.49,5.84,120.32,174.14,2478.31
2006,426.34,46.83,169.2,896.22,111.21,112.96,336.03,85.87,148.64,6.39,147.43,193.42,2680.54
2007,435.06,48.86,165.33,952.9,131.02,133.59,301.85,90.19,151.44,8.0,142.6,193.48,2754.32
2008,442.35,50.06,143.1,982.43,93.63,111.97,295.76,87.77,148.72,4.92,155.82,167.32,2683.85
2009,444.83,50.09,125.98,975.83,113.22,95.99,256.49,87.88,143.31,7.98,143.44,176.22,2621.26
2010,440.62,52.16,135.62,1014.55,122.72,103.2,286.13,85.47,150.7,8.86,144.57,186.41,2731.01
2011,447.04,58.97,132.73,1061.74,105.89,93.43,300.89,80.11,154.12,8.32,143.49,184.58,2771.31
2012,433.85,48.23,121.96,988.8,93.48,100.24,316.84,74.72,135.47,5.62,143.59,174.86,2637.66
2013,456.89,49.88,114.66,1008.06,90.34,107.87,270.91,73.77,129.38,7.41,135.63,189.91,2634.71
2014,455.66,44.24,115.45,981.4,99.38,115.45,285.96,63.39,146.41,12.84,134.75,201.96,2656.89
2015,462.29,45.87,108.05,957.94,95.75,117.92,276.41,64.2,144.4,11.69,150.05,187.07,2621.64
2016,522.16,48.75,117.49,856.9,110.18,122.53,266.86,61.55,141.79,13.67,156.39,189.3,2607.58
2017,478.46,45.34,117.62,906.49,108.92,117.56,313.2,62.58,156.81,16.15,151.7,174.17,2648.99
