Anno,Spesa_1,Spesa_2,Spesa_3,Spesa_4,Spesa_5,Spesa_6,Spesa_7,Spesa_8,Spesa_9,Spesa_10,Spesa_11,Spesa_12,Spesa_TOT
1997,438.08,42.17,189.37,495.76,166.08,129.52,239.23,63.18,130.66,19.35,71.71,139.41,2124.52
1998,421.85,36.95,191.09,481.01,135.41,107.49,222.98,66.75,117.69,12.13,52.71,135.94,1982.0
1999,408.9,34.3,168.4,474.28,119.08,108.98,229.63,65.56,106.7,16.12,66.34,134.65,1932.94
2000,448.3,42.5,206.42,494.62,144.68,97.99,199.56,72.96,104.43,13.62,79.97,136.54,2041.59
2001,437.07,34.82,193.51,524.96,121.28,90.41,193.82,68.8,97.8,18.35,77.39,136.15,1994.36
2002,461.23,34.57,190.79,579.07,135.91,116.93,197.1,66.53,106.5,14.51,71.93,144.84,2119.91
2003,503.02,39.69,192.9,588.8,134.91,120.64,215.02,74.48,120.99,16.59,80.27,170.08,2257.39
2004,473.8,38.53,191.89,618.61,161.36,115.71,234.91,70.88,107.36,12.36,63.8,155.7,2244.91
2005,504.86,43.35,199.76,631.85,139.94,114.06,238.45,73.85,113.12,16.12,73.32,157.35,2306.03
2006,520.54,43.43,220.24,684.74,142.17,97.83,215.31,77.02,115.26,12.56,75.7,174.58,2379.38
2007,508.53,41.76,206.26,645.49,106.04,105.34,207.44,75.36,109.81,19.62,85.66,153.67,2264.98
2008,538.38,46.69,214.92,663.41,108.26,124.78,217.67,74.76,109.82,14.33,70.1,162.47,2345.59
2009,497.47,40.58,184.17,654.58,96.96,102.01,190.3,70.05,106.6,12.49,83.5,150.12,2188.83
2010,494.21,43.82,185.83,686.77,98.92,105.86,198.25,65.85,86.76,16.38,70.11,141.08,2193.84
2011,478.93,39.89,161.72,694.83,93.34,117.35,176.22,64.87,92.97,25.12,77.63,149.41,2172.28
2012,461.31,37.56,133.96,701.85,84.38,99.85,200.1,62.02,82.97,15.64,71.77,137.83,2089.24
2013,471.3,37.62,118.4,696.36,81.06,95.13,201.07,61.35,76.78,13.86,63.07,144.58,2060.58
2014,446.24,44.23,119.59,661.66,97.07,106.55,201.28,60.13,78.34,10.84,59.02,176.05,2061.01
2015,459.57,46.34,126.88,674.75,96.61,110.77,211.22,56.57,80.19,13.4,72.57,164.82,2113.7
2016,475.21,49.82,126.95,689.59,113.96,113.39,202.62,54.28,82.65,12.96,75.44,174.3,2171.18
2017,456.72,40.98,115.59,710.3,103.32,94.64,234.96,53.23,91.43,10.49,76.77,146.49,2134.91
