Anno,Spesa_1,Spesa_2,Spesa_3,Spesa_4,Spesa_5,Spesa_6,Spesa_7,Spesa_8,Spesa_9,Spesa_10,Spesa_11,Spesa_12,Spesa_TOT
1997,475.59,53.1,110.95,553.81,186.6,79.77,287.67,71.36,142.16,27.32,146.67,213.11,2348.11
1998,469.07,47.66,95.56,509.64,156.16,99.94,227.5,72.42,126.83,27.57,122.64,207.03,2162.02
1999,476.2,44.58,106.62,506.55,179.67,93.49,270.96,80.29,122.46,18.38,136.15,205.3,2240.65
2000,472.15,46.42,110.13,512.27,254.23,74.71,279.24,86.4,158.24,24.36,145.85,215.36,2379.36
2001,486.66,42.48,101.81,546.15,205.19,77.24,249.46,76.98,139.4,18.51,138.39,203.84,2286.11
2002,522.17,44.65,108.75,574.98,186.82,89.87,271.59,82.46,142.57,36.51,161.47,225.09,2446.93
2003,551.66,50.33,133.63,643.22,223.75,76.4,281.51,84.11,154.25,28.05,180.63,241.83,2649.37
2004,528.04,49.62,132.85,614.0,242.26,89.34,301.69,88.85,162.2,28.16,175.08,257.98,2670.07
2005,534.55,51.71,121.82,637.57,215.14,90.76,284.66,84.61,139.16,25.04,195.83,228.36,2609.21
2006,540.17,55.29,118.7,687.27,177.04,95.31,341.73,88.45,135.58,31.13,174.49,244.44,2689.6
2007,516.38,46.3,106.09,705.07,146.69,84.48,274.23,82.04,123.57,24.86,147.28,226.08,2483.07
2008,561.08,50.49,116.17,729.22,136.4,86.64,268.63,77.18,115.73,14.46,150.51,227.73,2534.24
2009,495.43,40.6,101.97,689.36,108.7,83.7,185.55,68.82,96.52,18.96,130.72,211.07,2231.4
2010,493.71,48.26,122.27,703.04,106.21,78.23,203.71,72.32,100.69,16.18,163.17,188.23,2296.02
2011,558.23,47.24,108.59,716.58,120.92,77.17,199.44,73.16,91.73,30.63,162.51,172.78,2358.98
2012,507.84,40.96,92.15,818.63,104.21,81.36,209.38,71.61,75.58,12.44,112.18,161.46,2287.8
2013,489.06,38.46,74.64,756.29,97.67,63.89,229.33,61.72,74.53,14.52,70.24,155.63,2125.98
2014,417.28,39.13,77.91,777.18,94.17,68.33,258.5,55.92,95.59,7.9,71.88,171.37,2135.17
2015,413.49,36.9,77.13,751.61,90.14,68.88,251.97,46.03,94.96,7.57,82.1,162.88,2083.66
2016,431.44,49.21,79.72,752.36,76.35,80.15,254.52,58.34,112.61,11.8,82.64,139.59,2128.72
2017,441.56,40.13,82.49,758.83,120.49,87.37,216.39,53.55,88.24,8.22,66.64,131.99,2095.91
