Anno,Spesa_1,Spesa_2,Spesa_3,Spesa_4,Spesa_5,Spesa_6,Spesa_7,Spesa_8,Spesa_9,Spesa_10,Spesa_11,Spesa_12,Spesa_TOT
1997,353.04,28.09,127.6,350.09,161.78,80.37,252.63,59.98,125.09,10.13,58.9,137.02,1744.72
1998,368.1,31.67,150.15,358.3,151.73,103.41,244.75,69.55,137.06,12.38,74.2,136.52,1837.82
1999,354.14,31.37,153.86,375.16,145.25,97.64,264.77,80.21,127.05,16.6,64.39,144.96,1855.4
2000,384.79,31.63,141.41,393.81,203.46,91.3,233.76,82.23,149.23,16.35,73.77,147.02,1948.76
2001,389.05,29.84,168.62,380.11,194.07,81.52,227.5,75.51,164.6,16.54,92.23,165.05,1984.64
2002,411.7,29.15,190.64,422.24,202.16,86.76,264.34,74.17,135.61,17.34,88.3,151.18,2073.59
2003,404.49,29.79,168.82,436.21,178.01,91.25,251.03,76.26,129.12,14.54,86.45,159.87,2025.84
2004,403.47,31.17,154.31,416.46,156.26,86.79,245.46,76.38,117.79,16.0,83.26,149.35,1936.7
2005,397.83,32.88,145.48,442.34,157.11,87.43,250.06,81.31,109.49,13.48,71.85,157.86,1947.12
2006,419.53,34.42,161.35,468.29,135.11,82.25,262.89,86.76,112.67,20.42,79.56,148.66,2011.91
2007,423.32,34.45,169.19,475.47,149.67,98.58,245.95,83.84,110.29,16.02,79.35,157.28,2043.41
2008,414.72,33.34,159.25,497.52,122.74,92.89,226.69,80.1,98.98,12.61,83.02,162.37,1984.23
2009,398.45,34.47,144.35,569.65,113.53,92.13,230.68,72.0,87.48,15.78,72.12,153.99,1984.63
2010,413.7,34.95,146.27,563.25,110.21,93.69,197.22,75.37,88.37,10.97,85.62,134.43,1954.05
2011,423.06,38.33,128.49,539.71,103.95,90.36,201.69,68.23,74.71,10.83,81.86,133.17,1894.39
2012,415.99,34.87,103.34,571.5,104.43,94.05,199.7,68.07,80.34,12.46,64.53,140.0,1889.28
2013,395.38,35.76,94.21,559.68,91.13,79.96,185.59,61.63,67.4,9.08,61.28,136.5,1777.6
2014,407.67,37.86,103.47,540.37,81.34,81.56,178.35,66.64,71.42,9.14,51.46,149.58,1778.86
2015,406.05,32.52,106.94,586.08,85.63,88.09,180.28,62.4,72.52,9.6,60.23,133.96,1824.31
2016,426.66,33.61,115.42,642.92,87.42,86.19,173.45,59.92,67.74,7.72,52.18,122.97,1876.21
2017,424.35,40.99,115.0,613.17,84.82,106.71,214.54,61.52,66.12,11.02,69.44,134.85,1942.54
