Anno,Spesa_1,Spesa_2,Spesa_3,Spesa_4,Spesa_5,Spesa_6,Spesa_7,Spesa_8,Spesa_9,Spesa_10,Spesa_11,Spesa_12,Spesa_TOT
1997,410.37,39.13,148.07,677.54,164.5,118.2,269.83,63.52,152.19,5.69,155.85,191.75,2396.64
1998,400.23,39.39,151.47,698.36,148.97,124.96,286.86,69.18,155.48,6.22,138.64,186.34,2406.1
1999,394.0,39.33,143.77,760.03,163.45,129.2,292.99,72.26,147.06,6.61,142.58,204.86,2496.14
2000,376.66,35.32,133.4,779.22,143.17,112.55,366.16,79.73,164.83,5.27,125.65,190.19,2512.15
2001,401.57,36.33,151.33,792.73,134.3,133.28,317.01,74.49,160.44,6.73,135.97,207.8,2551.98
2002,398.82,34.11,132.86,742.08,132.11,106.72,271.65,69.91,135.35,4.81,141.78,190.82,2361.02
2003,416.79,37.3,138.07,829.04,141.87,136.1,298.49,86.09,150.26,6.55,154.1,213.67,2608.33
2004,448.11,41.44,135.24,888.99,149.3,147.88,300.96,83.17,156.9,12.67,169.05,232.91,2766.62
2005,470.26,42.77,151.54,976.09,165.43,167.08,412.93,89.48,160.47,10.11,179.27,235.94,3061.37
2006,447.08,40.69,141.59,978.5,157.85,132.49,327.87,92.88,167.45,11.09,172.37,220.68,2890.54
2007,461.81,44.33,126.66,984.42,146.73,140.34,322.07,95.47,159.79,8.64,159.73,216.06,2866.05
2008,443.36,36.47,135.64,1050.66,154.77,120.19,296.66,86.48,154.39,13.05,168.0,208.74,2868.41
2009,418.83,34.23,123.73,983.8,120.05,139.13,283.56,77.23,126.8,8.46,140.15,194.62,2650.59
2010,419.62,37.0,135.83,1035.88,141.5,114.74,305.05,79.64,154.56,10.46,149.09,221.47,2804.84
2011,446.49,39.32,126.28,1105.38,146.45,155.32,324.35,82.93,156.98,10.12,159.36,198.53,2951.51
2012,468.73,43.3,129.07,1090.87,135.35,126.86,370.7,75.23,161.89,13.85,165.91,220.44,3002.2
2013,475.4,42.77,130.09,1120.86,126.94,115.39,332.38,75.76,189.68,10.56,191.21,235.22,3046.26
2014,453.13,42.48,123.39,1093.23,150.36,146.51,324.34,69.64,214.54,20.16,183.52,252.23,3073.54
2015,455.22,46.49,127.65,1051.05,142.33,151.74,342.52,66.59,203.14,14.5,196.81,224.12,3022.16
2016,489.7,46.54,132.74,1061.43,110.7,141.18,324.52,70.44,208.62,13.75,234.12,239.98,3073.73
2017,478.68,43.44,140.99,1092.79,129.52,130.68,362.17,75.15,191.23,13.59,203.04,189.43,3050.7
