Anno,Spesa_1,Spesa_2,Spesa_3,Spesa_4,Spesa_5,Spesa_6,Spesa_7,Spesa_8,Spesa_9,Spesa_10,Spesa_11,Spesa_12,Spesa_TOT
1997,386.57,36.29,136.59,610.44,141.57,88.68,231.99,73.11,97.95,6.1,72.24,208.91,2090.44
1998,382.12,34.71,157.79,621.56,173.28,92.82,322.77,74.47,123.0,7.88,93.66,207.68,2291.74
1999,368.45,31.86,137.66,592.26,95.77,96.87,240.11,76.62,98.69,5.69,61.78,200.84,2006.6
2000,360.23,32.24,133.36,650.15,117.46,87.68,237.71,85.07,98.47,7.18,63.12,170.2,2042.87
2001,391.49,33.27,169.54,701.98,144.47,99.41,269.85,76.86,102.99,6.67,84.54,205.74,2286.81
2002,442.31,35.97,148.2,741.08,154.39,81.04,252.05,81.34,118.64,8.97,93.83,200.44,2358.26
2003,490.45,38.54,175.19,756.51,131.63,95.98,225.43,85.37,101.26,8.59,78.47,209.98,2397.4
2004,440.9,34.67,171.64,872.43,129.67,93.73,252.63,90.8,122.18,7.57,76.29,222.33,2514.84
2005,438.35,37.74,149.3,890.49,143.12,90.31,229.0,82.14,103.51,9.34,96.37,221.5,2491.17
2006,470.34,36.09,160.26,859.89,123.1,111.79,255.93,90.42,108.39,4.35,90.58,222.52,2533.66
2007,476.06,39.44,162.21,895.74,172.89,128.61,311.35,90.79,118.25,8.86,95.92,225.57,2725.69
2008,509.47,40.04,144.75,898.55,109.1,143.8,356.21,82.7,118.0,5.79,76.35,223.38,2708.14
2009,485.95,39.31,149.71,966.23,111.89,129.21,259.27,84.53,105.87,3.57,96.15,197.8,2629.49
2010,486.14,39.31,132.74,969.72,140.47,130.46,312.32,80.46,101.3,3.87,81.01,203.43,2681.23
2011,499.9,33.88,130.6,931.47,99.37,116.22,214.34,64.75,99.5,5.11,77.55,188.77,2461.46
2012,484.73,43.53,117.35,893.38,82.02,104.55,281.99,70.73,121.2,6.97,80.2,212.67,2499.32
2013,445.44,37.62,94.79,887.16,98.07,90.46,245.94,67.98,100.25,9.12,83.37,189.68,2349.88
2014,449.15,37.67,84.27,927.88,101.81,83.95,252.35,58.72,105.02,11.49,81.22,173.83,2367.37
2015,436.89,40.17,84.27,915.07,95.78,84.64,245.58,57.46,105.37,10.15,89.58,170.86,2335.82
2016,487.83,47.12,80.76,760.87,99.11,127.99,262.97,58.44,85.39,5.72,73.09,160.77,2250.05
2017,434.23,39.02,91.75,817.99,91.82,91.79,290.76,60.11,127.67,9.85,110.12,168.13,2333.22
