SPESA,ABRUZZO,BASILICATA,CALABRIA,CAMPANIA,EMILIA_ROMAGNA,FRIULI,LAZIO,LIGURIA,LOMBARDIA,MARCHE,MOLISE,PIEMONTE,PUGLIA,SARDEGNA,SICILIA,TOSCANA,TRENTINO,UMBRIA,VALLE_AOSTA,VENETO
Spesa_1,398.15,431.02,443.22,456.92,408.99,369.18,436.47,432.86,440.69,461.18,393.88,396.39,503.02,551.66,404.49,404.73,416.79,490.45,435.97,457.56
Spesa_2,34.92,41.08,39.66,45.55,41.59,30.44,37.09,40.69,46.48,40.91,36.65,46.35,39.69,50.33,29.79,45.31,37.3,38.54,43.97,40.58
Spesa_3,193.22,145.8,136.19,154.93,167.38,135.48,119.49,92.06,205.93,152.65,152.6,147.36,192.9,133.63,168.82,141.62,138.07,175.19,200.24,135.34
Spesa_4,612.51,492.74,472.1,582.38,985.37,760.33,987.12,717.92,831.45,769.44,612.82,814.83,588.8,643.22,436.21,916.27,829.04,756.51,798.41,851.78
Spesa_5,98.09,124.78,133.62,125.04,119.36,92.47,149.37,77.53,129.38,161.15,112.51,98.24,134.91,223.75,178.01,124.07,141.87,131.63,137.23,148.89
Spesa_6,110.62,57.77,92.99,75.29,122.37,103.69,85.21,114.07,101.82,92.3,73.35,105.87,120.64,76.4,91.25,100.03,136.1,95.98,103.18,101.04
Spesa_7,247.23,232.0,213.06,164.28,294.01,247.57,217.91,198.7,328.8,277.64,235.59,264.22,215.02,281.51,251.03,272.05,298.49,225.43,260.31,310.03
Spesa_8,73.74,68.17,91.37,71.4,82.0,65.44,74.71,70.02,78.31,74.43,70.19,84.02,74.48,84.11,76.26,85.42,86.09,85.37,78.2,80.45
Spesa_9,109.47,69.17,102.9,136.09,154.95,123.34,140.06,114.76,205.45,136.41,101.72,138.58,120.99,154.25,129.12,149.11,150.26,101.26,199.5,148.22
Spesa_10,10.15,2.99,4.35,9.06,9.4,4.93,11.03,10.66,10.03,5.69,12.56,6.91,16.59,28.05,14.54,12.7,6.55,8.59,9.25,18.42
Spesa_11,67.26,67.33,58.35,71.27,153.78,125.89,147.15,93.49,185.35,109.7,48.57,116.41,80.27,180.63,86.45,136.13,154.1,78.47,117.91,124.37
Spesa_12,179.83,114.43,178.15,135.91,262.54,234.34,205.84,169.07,266.21,231.47,173.86,161.47,170.08,241.83,159.87,279.07,213.67,209.98,239.69,224.12
Spesa_TOT,2135.19,1847.28,1965.96,2028.12,2801.74,2293.1,2611.45,2131.83,2829.9,2512.97,2024.3,2380.65,2257.39,2649.37,2025.84,2666.51,2608.33,2397.4,2623.86,2640.8
